Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
SUNY College of Environmental Science and Forestry,Bachelor's,Graduate,Public,Mid-Atlantic,Mid-size City,0.5052,25,1155,22550,15891,8282,17124,21.0200005,67355,38200
Saint Xavier University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5054,22,1010,35284,8567,7886,19150,22.5900002,53937,40800
Pacific Union College,Bachelor's,Graduate,Private,Far West,Fringe Rural,0.5055,22,1017,38800,9586,6452,20832,22.8199997,64885,44600
Southern Methodist University,Bachelor's,Graduate,Private,Southwest,Large Suburb,0.507,29,1302,57947,15884,11283,19000,21.1599999,63543.5,50400
SUNY Oneonta,Bachelor's,Graduate,Public,Mid-Atlantic,Remote Town,0.5073,24,1097,20762,8609,6242,20500,20.1000004,72432,37300
Texas Lutheran University,Bachelor's,Graduate,Private,Southwest,Fringe Town,0.5087,23,1041,35480,7862,6626,17750,20.1000004,68816.5,38200
Northwood University-Florida,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.5102,20,932,33485,6736,6891,18750,25.4599991,49456,40800
University of South Carolina-Aiken,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.5122,21,973,18466,6883,6243,13750,21.8500004,41442,32800
Santa Clara University,Bachelor's,Graduate,Private,Far West,Mid-size City,0.5122,29,1294,57213,10783,11662,19500,19.9500008,100259,61500
Cairn University-Langhorne,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5131,22,1008,32509,6906,5653,21540,23.3999996,61586.5,30700
Kentucky Christian University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.5136,21,976,29246,4538,4594,9500,21.3299999,48450.5,26500
Reinhardt University,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.514,22,1013,30734,6378,5710,9500,22.6000004,67316.5,33600
University of St Francis,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.5141,23,1070,36226,7644,7543,21000,24.4699993,73669,44700
Olivet College,Bachelor's,Graduate,Private,Great Lakes,Distant Rural,0.5148,20,927,31515,5069,5258,19000,20.3700008,57515,31000
SUNY at Fredonia,Bachelor's,Graduate,Public,Mid-Atlantic,Distant Town,0.5154,24,1056,20802,10250,6817,19000,19.9300003,75269.5,35700
Framingham State University,Bachelor's,Graduate,Public,New England,Small City,0.5167,22,1040,21402,5080,7977,15522.5,20.7600002,72222.5,40200
Bowie State University,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.5176,19,886,18581,6996,7393,16500,21.25,45228,42600
Georgia Southern University,Bachelor's,Graduate,Public,Southeast,Remote Town,0.52,23,1094,21513,6183,6217,16250,20.5900002,61757,36600
Converse College,Bachelor's,Graduate,Private,Southeast,Small City,0.5201,24,1072,39748,6345,6284,18333,24.0400009,50064,30100
The University of Tampa,Bachelor's,Graduate,Private,Southeast,Large City,0.5221,24,1075,37714,6103,8424,17550.5,21.0100002,66421,40200
Union College,Bachelor's,Graduate,Private,Great Plains,Large City,0.5229,23,1050,30383,9339,5335,16937.5,21.0900002,49856,34400
North Park University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5234,22,1030,31065,6660,7535,18750,22.2999992,60232.5,37300
Concordia University-Saint Paul,Bachelor's,Graduate,Private,Great Plains,Large City,0.5239,21,991,40267,5381,4358,16667,26.1800003,57993.5,44700
Wilson College,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.5267,22,993,39818,8569,6535,23111.5,25.8099995,43650,29400
Lipscomb University,Bachelor's,Graduate,Private,Southeast,Large City,0.527,25,1149,37181,10013,7138,14500,20.6200008,79148,35500
Barclay College,Bachelor's,Graduate,Private,Great Plains,Remote Rural,0.5285,20,954,24990,3955,4622,12625,21.2999992,46657,26400
University of Dayton,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.5297,27,1181,46250,10823,8494,23250,19.75,108917.5,45900
Bluffton University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.5308,22,1027,40078,8243,5189,19450,22.0499992,68081,34900
St John's University-New York,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5316,24,1093,50233,10743,11777,20000,19.6900005,49731,48000
Morningside College,Bachelor's,Graduate,Private,Great Plains,Small City,0.5337,23,1050,36280,5367,6371,19932,20.3199997,64251,36600
University of North Florida,Bachelor's,Graduate,Public,Southeast,Large City,0.5343,25,1143,19415,5323,7279,14000,22.5900002,41844.5,38400
University of Saint Francis-Fort Wayne,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5362,21,981,31516,7513,5666,20000,23.6100006,63504,36600
University of Connecticut,Bachelor's,Graduate,Public,New England,Large Suburb,0.5366,28,1233,25786,20908,11500,18983,20.1200008,86510,49700
Kansas Wesleyan University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.537,22,1014,34402,4988,5498,15455,22.1200008,53597,35600
Multnomah University,Bachelor's,Graduate,Private,Far West,Large City,0.538,23,1104,33878,5444,5433,20075,22.6599999,46586,28800
Howard Payne University,Bachelor's,Graduate,Private,Southwest,Remote Town,0.5382,20,953,32861,8101,5553,12275,21.9400005,46720,33300
University of West Georgia,Bachelor's,Graduate,Public,Southeast,Fringe Town,0.5385,20,950,18879,6178,5787,14250,22.2800007,51454,32800
Elon University,Bachelor's,Graduate,Private,Southeast,Mid-size Suburb,0.5398,25,1200,41679,14745,8485,20500,19.5300007,104953,43600
Saint Peter's University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5408,19,913,40921,8447,8274,17500,21.9400005,42545,40000
Loyola Marymount University,Bachelor's,Graduate,Private,Far West,Large City,0.5412,27,1202,55432,14921,10098,20201.5,20.1200008,76696,49600
University of North Carolina Wilmington,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5419,24,1154,18165,7865,7872,16500,21.1299992,63608.5,35700
Pennsylvania State University-Main Campus,Bachelor's,Graduate,Public,Mid-Atlantic,Small City,0.542,27,1199,31625,18073,9902,21500,20.8799992,70439.5,43400
Mount Carmel College of Nursing,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5421,22,1030,25491,5545,6657,18750,23.4400005,63567,55400
Montreat College,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.5429,20,950,33963,4259,5125,19700,28.7099991,51073,34100
Concordia University-Chicago,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.5441,22,1030,34774,8334,4134,15750,22.0699997,61882,36400
Johnson University,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.5464,22,1022,19898,6145,5485,14250,21.8899994,53910.5,28100
Georgia Institute of Technology-Main Campus,Bachelor's,Graduate,Public,Southeast,Large City,0.5493,30,1352,21980,13939,11230,20750,20.0300007,82697,65700
Salisbury University,Bachelor's,Graduate,Public,Mid-Atlantic,Small Suburb,0.5494,24,1145,20916,6654,6688,16250,20.5499992,87919.5,44100
Crown College,Bachelor's,Graduate,Private,Great Plains,Fringe Rural,0.55,21,983,34574,3243,4584,14625,26.2399998,53587.5,30000
Goshen College,Bachelor's,Graduate,Private,Great Lakes,Small City,0.5506,26,1123,37707,10729,5509,17000,22.1700001,71149,34400
Five Towns College,Bachelor's,Graduate,Private For-Profit,Mid-Atlantic,Large Suburb,0.5509,21,894,31557,3621,4824,17625,20.8199997,61243,30100
Millikin University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.5512,24,1087,39576,8378,5844,22000,21.9699993,68264.5,38600
Dallas Christian College,Bachelor's,Graduate,Private,Southwest,Large Suburb,0.5516,20,930,24499,5755,4459,14250,27.1700001,42236,36700
Valdosta State University,Bachelor's,Graduate,Public,Southeast,Small City,0.5522,22,1033,20958,5873,5998,16000,21.7199993,51351,34300
Ramapo College of New Jersey,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.5526,23,1096,27781,8976,9521,19500,20.7299995,79102,45300
Neumann University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5531,18,861,37314,5192,6649,20000,21.7000008,72393.5,36400
SUNY at Albany,Bachelor's,Graduate,Public,Mid-Atlantic,Small City,0.5545,24,1102,21249,11393,9423,16750,20.2999992,60558,44100
Anderson University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.5545,23,1053,37937,8062,6395,23000,21.5100002,72723,33400
Simpson University,Bachelor's,Graduate,Private,Far West,Small City,0.555,22,1030,33889,6136,6144,16666,25.2199993,44207,28000
Ohio State University-Main Campus,Bachelor's,Graduate,Public,Great Lakes,Large City,0.5553,29,1289,24524,16161,11284,17000,21.0400009,65600.5,38900
Lake Erie College,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.5561,21,983,39085,5191,6327,16160,22.5100002,54053,31300
La Roche College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5565,21,931,35493,5901,5789,18750,22.0799999,62381,37000
Pratt Institute-Main,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5572,26,1140,54582,13360,9254,23241,20.8899994,59029,37300
Oglethorpe University,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.5576,25,1131,43689,8645,4728,18459,22.3299999,46214.5,37600
Lewis University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.5587,24,1088,34079,8122,9021,20000,22.75,71614,43500
Concordia University-Portland,Bachelor's,Graduate,Private,Far West,Large City,0.5592,21,993,35963,3210,7401,17500,24.8199997,53453,38800
University of Georgia,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5608,28,1247,21162,8478,9015,16831,21.1900005,69003,42500
Northern Illinois University,Bachelor's,Graduate,Public,Great Lakes,Small Suburb,0.5613,22,1010,27621,12208,7834,16500,20.7600002,64181,39500
University of Pittsburgh-Pittsburgh Campus,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.5613,28,1258,30410,16506,9533,22000,20.9300003,71893,45600
Rose-Hulman Institute of Technology,Bachelor's,Graduate,Private,Great Lakes,Small City,0.5622,30,1310,55413,20879,8411,26000,19.5,91307,71300
Moore College of Art and Design,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5632,24,982,47675,10517,5557,26991,21.2999992,67507,29400
University of the Sciences,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5635,25,1165,49327,12508,8000,27000,19.6900005,82840.5,94000
Oklahoma Baptist University,Bachelor's,Graduate,Private,Southwest,Distant Town,0.5646,24,1098,31759,6372,6090,12000,20.6100006,58859,34100
University at Buffalo,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.5652,26,1158,20885,15151,10026,15200,20.7800007,56636,44500
Kennesaw State University,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.5654,23,1068,20630,6179,6252,15000,24.5100002,41150.5,37200
The University of Alabama,Bachelor's,Graduate,Public,Southeast,Small City,0.5655,26,1171,26717,9817,9605,17750,20.7700005,58976,39200
Minot State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.5662,22,1004,14549,8038,6338,12878.5,22.9300003,43540,34600
Holy Names University,Bachelor's,Graduate,Private,Far West,Large City,0.5668,19,910,46994,7958,7717,21500,25.8500004,45708,45800
Clark Atlanta University,Bachelor's,Graduate,Private,Southeast,Large City,0.568,19,880,34201,8191,6418,20000,19.9200001,41956,29800
Florida State University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5681,27,1212,20774,8596,9706,18750,20.7600002,51372.5,40000
Tarleton State University,Bachelor's,Graduate,Public,Southwest,Remote Town,0.5682,21,984,17709,6065,7074,13118,23.1700001,42847,37900
Stephen F Austin State University,Bachelor's,Graduate,Public,Southwest,Fringe Rural,0.5687,22,998,21909,6535,7087,16074,21.7900009,45665,36800
University of Jamestown,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.5689,23,1038,27712,6849,6234,17000,20.7099991,68940.5,36900
Illinois Institute of Technology,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5697,28,1252,48940,12231,11256,22015,21.4400005,55985.5,61700
Covenant College,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.5704,26,1173,38510,8344,6841,18500,24.8199997,61514,37200
Lake Forest College,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.5727,26,1157,49743,10173,8231,24000,19.6800003,81078,41600
Hiram College,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.5736,22,1030,42672,9169,5420,21333.5,23.1900005,63023.5,35300
Marquette University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5745,27,1217,46649,9995,9665,24760,20.1700001,93069,52300
Baylor University,Bachelor's,Graduate,Private,Southwest,Mid-size City,0.5747,27,1215,51086,14046,8793,21000,19.7999992,72163,43700
Bay Path College,Bachelor's,Graduate,Private,New England,Large Suburb,0.576,20,964,40447,6148,7754,18065,27.2800007,45278,37500
Wentworth Institute of Technology,Bachelor's,Graduate,Private,New England,Large City,0.5761,24,1109,43850,8790,8039,21700,20.3400002,81863,52100
Rhodes College,Bachelor's,Graduate,Private,Southeast,Large City,0.5764,29,1288,50659,14821,8035,22991,19.4899998,100407,41400
William Penn University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.5766,20,926,33081,4768,5792,18740,27.6800003,45954.5,36900
Willamette University,Bachelor's,Graduate,Private,Far West,Mid-size City,0.5784,27,1198,52665,14645,9341,19538.5,19.8099995,82978,41300
Chestnut Hill College,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.5785,21,960,42663,7120,6218,23500,25.3400002,44204,39200
Clemson University,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.5787,29,1259,27944,11711,9907,20008,20.0699997,87306,43500
North Greenville University,Bachelor's,Graduate,Private,Southeast,Fringe Rural,0.5791,25,1137,28373,4680,5568,12000,20.3999996,53275,27000
Marian University,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5795,22,1024,39369,8781,5762,23412.5,26.1200008,48632,39800
Loyola University Maryland,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.58,27,1194,56736,11584,8346,26000,19.3600006,112164,56400
Webster University,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.5806,24,1107,37363,6648,8068,20500,24.0300007,61052,37400
Lancaster Bible College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5813,19,982,27372,8105,5605,12000,22.4500008,60888,28400
Salem College,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.582,25,1110,39859,7665,5969,18750,27.1499996,40939,31400
St Mary's University,Bachelor's,Graduate,Private,Southwest,Large City,0.5823,23,1050,35160,12291,9441,20000,20.9200001,44525.5,40800
LaGrange College,Bachelor's,Graduate,Private,Southeast,Distant Town,0.5837,21,995,37305,12133,5532,18686.5,23.6599999,63008.5,38000
Rosemont College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5838,21,927,45067,6212,5011,25000,23.7000008,45253,42200
Grace University,Bachelor's,Graduate,Private,Great Plains,Large City,0.5846,22,995,27873,9292,5045,12000,23.5,49345.5,29100
University of Arkansas,Bachelor's,Graduate,Public,Southeast,Small City,0.5858,26,1156,19917,8349,8902,14990,21.4599991,52612,39200
Austin College,Bachelor's,Graduate,Private,Southwest,Small City,0.5861,25,1181,45800,14009,7605,23000,19.6499996,83025,41000
Friends University,Bachelor's,Graduate,Private,Great Plains,Large City,0.5862,21,977,33388,5303,6443,20834,27.8700008,45203.5,38300
Hofstra University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5871,26,1165,49604,15989,12848,19150,20.4200001,74751,45900
Cedar Crest College,Bachelor's,Graduate,Private,Mid-Atlantic,Mid-size City,0.588,21,948,41240,9593,7031,23250,24.9400005,53743.5,42500
Rollins College,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.5889,27,1199,56309,12311,7767,23000,23.0300007,46391,40600
Minneapolis College of Art and Design,Bachelor's,Graduate,Private,Great Plains,Large City,0.5895,23,1073,41935,12814,6334,21166,20.9799995,77197,27500
Christopher Newport University,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.5902,26,1161,24696,8747,7705,19736.5,19.7099991,95158,39800
Capitol College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5903,21,1042,30826,4888,4275,13250,22.9099999,53209,65400
Stetson University,Bachelor's,Graduate,Private,Southeast,Mid-size Suburb,0.5925,26,1168,49939,11448,9877,18050,20.7099991,64137,36500
Western Illinois University,Bachelor's,Graduate,Public,Great Lakes,Remote Town,0.5931,21,970,24375,11290,8263,17729,20.9699993,65915,37200
Southeastern University,Bachelor's,Graduate,Private,Southeast,Small City,0.5932,20,955,30333,5231,6899,14250,22.6599999,55937,28300
University of Mississippi,Bachelor's,Graduate,Public,Southeast,Remote Town,0.5936,24,1100,21526,9350,8409,15750,22.1499996,46826.5,37900
University of Connecticut-Avery Point,Bachelor's,Graduate,Public,New England,Mid-size Suburb,0.594,24,1020,12946,11730,14803,18983,20.1200008,86510,49700
Frostburg State University,Bachelor's,Graduate,Public,Mid-Atlantic,Small Suburb,0.5945,20,963,19454,6658,6570,16750,20.2900009,68365.5,38500
Stevenson University,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Rural,0.5959,21,990,38785,8585,9724,18197.5,21.0799999,77520,45800
University of North Texas,Bachelor's,Graduate,Public,Southwest,Mid-size City,0.5969,24,1100,18593,7571,9746,14955,22.2600002,49512,39400
Arcadia University,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5969,25,1095,48907,8548,7962,22000,20.3500004,76319,38100
University of Illinois at Springfield,Bachelor's,Graduate,Public,Great Lakes,Mid-size City,0.5977,24,1085,21385,10685,7464,15000,25.2099991,42542.5,40000
